Change_Control_ID,Title,Initiating_Department,Change_Type,Risk_Level,Change_Owner,Status,Creation_Date,Due_Date,Assessment_Completion_Date,Approval_Date,Implementation_Date,Closure_Date,On_Time_Implementation,Requires_Authority_Approval,Authority_Approval_Status,Linked_SOP_Change,Linked_CAPA
CC-2025-0030,Likely everything who example response will tough yet later that.,Regulatory Affairs,Administrative,Low,Erika Knight,Closed - Implemented,2024-01-07,2024-06-01,2024-01-11,2024-01-20,2024-03-03,2024-03-08,Yes,No,Not Required,SOP-Engi-024-rev2,
CC-2025-0031,Lose camera again pass happy religious space.,Regulatory Affairs,Major,High,Erika Knight,Closed - Implemented,2025-01-18,2025-03-24,2025-01-26,2025-03-05,2025-05-31,2025-06-02,No,No,Not Required,SOP-Qual-001-rev5,
CC-2025-0032,Perhaps each simply old a military.,Engineering,Major,High,George Gonzalez,Draft,2023-12-05,2024-01-27,,,,,,Yes,Submitted,SOP-IT-009-rev2,CAPA-013
CC-2025-0033,Like seek while between expert indicate.,Quality Assurance,Emergency,High,Samantha Gomez,Closed - Implemented,2025-01-08,2025-05-25,2025-01-15,2025-02-21,2025-03-10,2025-03-12,Yes,No,Not Required,SOP-Prod-040-rev4,
CC-2025-0034,Conference American explain crime modern poor.,Production,Emergency,Medium,Erika Knight,Closed - Implemented,2023-12-08,2024-02-23,2023-12-16,2023-12-28,2024-01-31,2024-02-06,Yes,No,Not Required,SOP-Regu-029-rev2,
CC-2025-0035,Bit dinner alone whose performance run last.,Quality Assurance,Emergency,Medium,Chad Brown,Pending Assessment,2023-07-27,2023-11-13,2023-08-02,,,,,No,Not Required,SOP-Qual-014-rev2,
CC-2025-0036,Should film this professor.,IT,Minor,Low,Madeline Diaz,Pending Assessment,2024-07-03,2024-08-19,2024-07-08,,,,,No,Not Required,SOP-Qual-018-rev4,
CC-2025-0037,Choose board call across.,Production,Emergency,High,Jenny Ryan,Pending Assessment,2025-04-17,2025-09-09,2025-04-24,,,,,No,Not Required,SOP-Engi-029-rev5,CAPA-039
CC-2025-0038,Contain small really six.,Production,Major,High,Madeline Diaz,Pending Assessment,2024-04-03,2024-09-07,2024-04-05,,,,,Yes,Submitted,SOP-Regu-016-rev3,CAPA-089
CC-2025-0039,Discussion others computer good country.,Production,Emergency,Medium,Keith Wilkerson,In Implementation,2023-11-23,2024-03-31,2023-11-27,2023-12-11,2024-01-18,,,No,Not Required,SOP-Qual-016-rev3,
CC-2025-0040,Condition discuss friend mouth.,IT,Minor,High,Jenny Ryan,Closed - Rejected,2025-04-18,2025-07-14,2025-04-24,2025-05-27,,2025-05-30,,No,Not Required,SOP-IT-049-rev4,
CC-2025-0041,Author base image weight recent for happy institution.,Production,Minor,Low,Eric Fisher,Closed - Implemented,2024-09-01,2024-11-18,2024-09-04,2024-09-17,2024-11-21,2024-11-26,No,No,Not Required,SOP-IT-001-rev4,CAPA-079
CC-2025-0042,Note mind strong partner science.,Regulatory Affairs,Emergency,Medium,Samantha Perez,Pending Assessment,2025-02-26,2025-07-11,2025-03-06,,,,,No,Not Required,SOP-Regu-036-rev5,
CC-2025-0043,Its third expert avoid here short their.,Regulatory Affairs,Minor,High,Joseph Romero,Pending Assessment,2025-01-14,2025-02-23,2025-01-23,,,,,No,Not Required,SOP-Qual-025-rev4,
CC-2025-0044,Bed society right report think develop maintain.,Engineering,Administrative,High,George Gonzalez,Pending Assessment,2023-11-08,2024-05-01,2023-11-10,,,,,No,Not Required,SOP-Regu-045-rev5,
CC-2025-0045,Into since strong.,IT,Administrative,Medium,Joseph Romero,Pending Assessment,2025-06-16,2025-07-16,2025-06-18,,,,,No,Not Required,SOP-Qual-048-rev5,
CC-2025-0046,Camera time.,Production,Emergency,Medium,Eric Fisher,Closed - Rejected,2023-11-11,2024-02-19,2023-11-18,2023-12-05,,2023-12-11,,No,Not Required,SOP-IT-003-rev5,
CC-2025-0047,Skill example want church fight.,Quality Assurance,Emergency,Medium,Eric Fisher,Pending Approval,2025-04-13,2025-08-09,2025-04-17,2025-05-06,,,,No,Not Required,SOP-Prod-011-rev3,CAPA-003
CC-2025-0048,Often five home form else necessary.,Engineering,Emergency,High,Leslie Johnson,Pending Assessment,2025-03-03,2025-06-20,2025-03-07,,,,,No,Not Required,SOP-Regu-046-rev3,
CC-2025-0049,Defense majority house establish size must.,Engineering,Minor,Low,Angela Alvarez,Closed - Implemented,2024-01-24,2024-06-25,2024-01-26,2024-02-14,2024-03-12,2024-03-14,Yes,No,Not Required,SOP-Prod-005-rev3,
CC-2025-0050,Really summer heavy just watch practice.,Production,Major,High,Chad Brown,In Implementation,2024-01-07,2024-06-23,2024-01-13,2024-02-08,2024-03-29,,,Yes,Approved,SOP-Qual-048-rev3,
CC-2025-0051,Threat mind hundred paper throughout per safe.,Quality Assurance,Major,High,Joseph Romero,In Implementation,2025-03-20,2025-09-03,2025-03-27,2025-04-21,2025-06-13,,,No,Not Required,SOP-Qual-028-rev2,
CC-2025-0052,Feel she serious.,Regulatory Affairs,Emergency,High,Angela Alvarez,In Implementation,2023-10-08,2024-03-18,2023-10-18,2023-11-12,2023-11-23,,,No,Not Required,SOP-Qual-002-rev2,CAPA-062
CC-2025-0053,Summer ability ten range herself.,Quality Assurance,Minor,Medium,Eric Fisher,In Implementation,2023-12-16,2024-03-27,2023-12-25,2024-01-03,2024-01-26,,,No,Not Required,SOP-Qual-001-rev1,
CC-2025-0054,I so only across executive speak.,Engineering,Administrative,Medium,Eric Fisher,Closed - Implemented,2024-03-31,2024-09-05,2024-04-03,2024-04-18,2024-05-23,2024-05-25,Yes,No,Not Required,SOP-IT-004-rev3,
CC-2025-0055,Member catch into game growth think sister hear.,IT,Administrative,Medium,James Smith,Closed - Implemented,2024-08-27,2024-10-20,2024-09-05,2024-09-21,2024-10-02,2024-10-08,Yes,No,Not Required,SOP-IT-042-rev1,
CC-2025-0056,Let lay fly laugh country group site situation.,Regulatory Affairs,Major,High,James Smith,Draft,2024-02-08,2024-05-22,,,,,,Yes,Submitted,SOP-Regu-013-rev4,CAPA-073
CC-2025-0057,Third seat change fish food ever.,Engineering,Major,High,Chelsea Montes,Pending Approval,2024-07-31,2024-10-24,2024-08-03,2024-09-02,,,,No,Not Required,SOP-Prod-020-rev2,
CC-2025-0058,My car consumer lot leg message child hope.,Production,Administrative,High,Eric Fisher,In Implementation,2023-07-28,2023-12-28,2023-08-04,2023-09-03,2023-09-30,,,No,Not Required,SOP-Qual-022-rev3,
CC-2025-0059,Language more scientist pick mind relate lay.,Quality Control,Administrative,Medium,Kristen Martin,Pending Approval,2025-01-08,2025-03-11,2025-01-17,2025-01-27,,,,No,Not Required,SOP-Prod-001-rev4,
CC-2025-0060,Yet remain store pay value meeting.,Quality Assurance,Minor,Low,Kristen Martin,Pending Assessment,2024-10-18,2025-04-06,2024-10-24,,,,,No,Not Required,SOP-Regu-014-rev1,
CC-2025-0061,Various method such hotel claim.,Production,Administrative,Low,Kristen Martin,Closed - Rejected,2024-03-10,2024-05-19,2024-03-15,2024-03-21,,2024-03-24,,No,Not Required,SOP-Qual-037-rev5,CAPA-011
CC-2025-0062,Wrong item energy.,Engineering,Emergency,High,Chad Brown,Draft,2024-11-16,2025-03-26,,,,,,No,Not Required,SOP-Engi-012-rev5,
CC-2025-0063,Fire source time serve wonder something conference.,Quality Assurance,Minor,High,Angela Alvarez,In Implementation,2023-06-26,2023-09-03,2023-07-05,2023-07-29,2023-09-21,,,No,Not Required,SOP-Qual-015-rev4,CAPA-098
CC-2025-0064,Treatment million home color agree.,Engineering,Administrative,High,Joseph Romero,In Implementation,2025-06-07,2025-11-19,2025-06-17,2025-07-12,2025-09-03,,,No,Not Required,SOP-Qual-024-rev2,CAPA-059
CC-2025-0065,Police trade campaign run oil those during color.,Regulatory Affairs,Minor,High,Joseph Romero,Closed - Rejected,2024-12-11,2025-05-09,2024-12-17,2025-01-08,,2025-01-11,,No,Not Required,SOP-Engi-011-rev1,CAPA-014
CC-2025-0066,See food decade since they then.,Engineering,Emergency,High,George Gonzalez,Closed - Implemented,2024-03-04,2024-07-07,2024-03-13,2024-04-07,2024-06-05,2024-06-11,Yes,No,Not Required,SOP-Regu-032-rev5,
CC-2025-0067,Product every.,Regulatory Affairs,Administrative,High,Valerie Powell,Draft,2025-05-14,2025-11-06,,,,,,No,Not Required,SOP-Prod-024-rev4,CAPA-054
CC-2025-0068,Answer benefit instead strong surface theory middle.,Engineering,Administrative,Medium,George Gonzalez,Closed - Implemented,2024-06-19,2024-12-12,2024-06-25,2024-07-15,2024-08-09,2024-08-13,Yes,No,Not Required,SOP-Engi-027-rev4,CAPA-053
CC-2025-0069,Collection north church get standard charge.,Production,Major,High,Jenny Ryan,Draft,2024-12-08,2025-05-10,,,,,,No,Not Required,SOP-Qual-029-rev5,
CC-2025-0070,Recent child bank know.,Quality Control,Minor,Medium,Kristen Martin,Draft,2023-07-21,2023-10-03,,,,,,No,Not Required,SOP-Engi-043-rev1,
CC-2025-0071,Piece ready kitchen rather beautiful human process parent majority.,Production,Emergency,Medium,Carlos Bradshaw,Draft,2025-06-09,2025-08-05,,,,,,No,Not Required,SOP-Prod-032-rev4,CAPA-086
CC-2025-0072,Budget from politics drop.,Quality Assurance,Emergency,Medium,Leslie Johnson,Closed - Rejected,2023-08-01,2023-10-26,2023-08-05,2023-08-10,,2023-08-14,,No,Not Required,SOP-Prod-013-rev5,CAPA-029
CC-2025-0073,Whose her evening.,IT,Major,High,George Gonzalez,In Implementation,2023-12-14,2024-05-08,2023-12-16,2024-01-07,2024-02-16,,,No,Not Required,SOP-Regu-050-rev4,CAPA-050
CC-2025-0074,Doctor local age.,IT,Emergency,Medium,Kristen Martin,Pending Approval,2023-10-21,2024-02-08,2023-10-24,2023-11-11,,,,No,Not Required,SOP-Prod-005-rev4,
CC-2025-0075,Ask whose speak north teacher.,Engineering,Emergency,Medium,Leslie Johnson,Draft,2024-11-18,2025-04-06,,,,,,No,Not Required,SOP-Prod-032-rev1,
CC-2025-0076,At see floor peace director way.,Production,Minor,Low,Samantha Perez,Pending Approval,2024-02-11,2024-07-30,2024-02-16,2024-03-02,,,,No,Not Required,SOP-Qual-028-rev2,
CC-2025-0077,Store style rise.,Production,Administrative,High,Joseph Romero,Draft,2024-04-02,2024-06-08,,,,,,No,Not Required,SOP-IT-013-rev4,
CC-2025-0078,Surface campaign while ever follow husband center stay.,Quality Control,Administrative,High,Chad Brown,Pending Assessment,2024-04-22,2024-07-31,2024-05-01,,,,,No,Not Required,SOP-Prod-002-rev4,CAPA-081
CC-2025-0079,Our money school character turn represent see.,Production,Minor,Low,Kristen Martin,Draft,2024-08-05,2024-11-27,,,,,,No,Not Required,SOP-Qual-011-rev2,
CC-2025-0080,Quickly wide order meet weight ten.,Production,Minor,Medium,Kristen Martin,Pending Approval,2023-09-10,2023-11-13,2023-09-16,2023-09-27,,,,No,Not Required,SOP-Prod-033-rev1,
CC-2025-0081,Tax imagine thank.,Quality Assurance,Emergency,Medium,Madeline Diaz,Closed - Implemented,2025-05-25,2025-11-05,2025-06-03,2025-06-14,2025-07-12,2025-07-18,Yes,No,Not Required,SOP-Regu-047-rev5,
CC-2025-0082,Again can real case similar fire age.,Production,Emergency,High,James Smith,Closed - Rejected,2025-03-30,2025-05-05,2025-04-01,2025-05-06,,2025-05-11,,No,Not Required,SOP-Regu-046-rev5,
CC-2025-0083,Our part responsibility discussion instead training production cell.,Quality Control,Emergency,Medium,Samantha Gomez,Pending Assessment,2024-11-24,2025-05-12,2024-12-01,,,,,No,Not Required,SOP-Qual-040-rev1,CAPA-075
CC-2025-0084,Expert so east just know prepare.,IT,Major,High,George Gonzalez,Pending Assessment,2024-10-19,2025-03-15,2024-10-27,,,,,No,Not Required,SOP-IT-047-rev2,
CC-2025-0085,Fall police leave population pull.,Quality Assurance,Emergency,Medium,Chad Brown,Closed - Implemented,2024-03-14,2024-04-22,2024-03-20,2024-03-31,2024-04-27,2024-04-30,No,No,Not Required,SOP-Qual-043-rev1,
CC-2025-0086,Method plan again finally outside out opportunity keep.,Quality Control,Emergency,Medium,Jenny Ryan,Pending Assessment,2023-09-11,2023-10-12,2023-09-17,,,,,No,Not Required,SOP-IT-034-rev3,
CC-2025-0087,Argue past reduce standard land class away want run.,Quality Assurance,Minor,Medium,Leslie Johnson,Pending Approval,2023-10-25,2023-12-13,2023-10-30,2023-11-19,,,,No,Not Required,SOP-Engi-004-rev5,
CC-2025-0088,Seek lot property type water.,Production,Emergency,High,Kristen Martin,Pending Assessment,2024-11-14,2025-02-15,2024-11-19,,,,,No,Not Required,SOP-Engi-020-rev5,CAPA-021
CC-2025-0089,Once adult level front think discover blue no yourself.,Production,Emergency,Medium,George Gonzalez,Draft,2024-06-28,2024-08-20,,,,,,No,Not Required,SOP-Prod-029-rev2,CAPA-027
CC-2025-0090,Crime nature check great especially theory son should north cultural.,Regulatory Affairs,Minor,High,James Smith,In Implementation,2024-08-02,2025-01-13,2024-08-06,2024-08-24,2024-09-16,,,No,Not Required,SOP-IT-036-rev3,
CC-2025-0091,Think reality ten phone.,IT,Emergency,High,Kristen Martin,In Implementation,2024-10-25,2025-02-11,2024-11-02,2024-11-30,2025-01-09,,,No,Not Required,SOP-Prod-019-rev3,
CC-2025-0092,Expert floor time research long help.,Quality Control,Administrative,Medium,Keith Wilkerson,In Implementation,2025-02-03,2025-04-10,2025-02-13,2025-02-22,2025-03-21,,,No,Not Required,SOP-IT-038-rev4,
CC-2025-0093,Many protect election main despite vote.,Production,Administrative,Low,Jenny Ryan,Draft,2023-08-15,2024-02-03,,,,,,No,Not Required,SOP-Regu-013-rev1,
CC-2025-0094,Wall into affect.,Production,Emergency,Medium,Samantha Gomez,Closed - Rejected,2024-12-16,2025-04-15,2024-12-24,2025-01-10,,2025-01-17,,No,Not Required,SOP-Prod-021-rev1,
CC-2025-0095,Wife hard discussion leave area.,Regulatory Affairs,Major,High,Alexis Lambert,Pending Assessment,2025-04-29,2025-06-03,2025-05-03,,,,,No,Not Required,SOP-Engi-018-rev5,
CC-2025-0096,Individual rather tax manage.,Quality Control,Emergency,High,Joseph Romero,Draft,2023-11-08,2024-02-28,,,,,,No,Not Required,SOP-IT-013-rev1,
CC-2025-0097,Hard product your majority child.,Regulatory Affairs,Major,High,Keith Wilkerson,Pending Approval,2023-08-24,2023-12-20,2023-09-01,2023-10-08,,,,Yes,Pending Submission,SOP-Prod-012-rev4,
CC-2025-0098,Report better must determine else next fill.,Production,Administrative,High,Leslie Johnson,Draft,2024-04-06,2024-05-31,,,,,,No,Not Required,SOP-IT-039-rev4,
CC-2025-0099,Least research same few get.,Quality Assurance,Administrative,High,Jenny Ryan,Closed - Rejected,2024-02-01,2024-07-19,2024-02-07,2024-03-09,,2024-03-13,,No,Not Required,SOP-Regu-030-rev5,CAPA-099
CC-2025-0100,Between usually whom thank.,Production,Major,High,George Gonzalez,Closed - Implemented,2024-06-22,2024-10-31,2024-06-27,2024-07-26,2024-09-23,2024-09-29,Yes,No,Not Required,SOP-IT-032-rev2,
