Sample_ID,Batch_ID,Product_Name,Sample_Type,Test_Name,Test_Specification_Min,Test_Specification_Max,Test_Result_Value,Test_Result_UOM,Test_Status,Test_Date,Analyst_ID,Linked_OOS_ID
LIMS_S029,B112,ProductB,In-Process,Purity,99.0,100.1,98.8,%,Fail,2024-12-17,AN005,OOS009
LIMS_S030,B013,ProductC,Raw Material,Identification,,,Conforms,,Pass,2024-09-03,AN002,
LIMS_S031,B063,ProductA,Raw Material,Identification,,,Conforms,,Pass,2024-11-23,AN004,
LIMS_S032,B133,ProductB,Stability,Purity,99.0,100.1,98.3,%,Fail,2024-08-09,AN001,OOS010
LIMS_S033,B142,ProductB,Finished Product,Assay,98.0,102.0,102.2,%,Fail,2024-12-19,AN005,OOS011
LIMS_S034,B063,ProductA,Finished Product,Viscosity,100.0,150.0,95.0,cP,Fail,2024-11-23,AN001,OOS012
LIMS_S035,B024,ProductC,Finished Product,Assay,98.0,102.0,97.2,%,Fail,2024-09-09,AN003,OOS013
LIMS_S036,B028,ProductB,Stability,pH,6.5,7.5,7.9,,Fail,2024-12-18,AN005,OOS014
LIMS_S037,B020,ProductA,Stability,Dissolution,,,,,Fail,2024-11-29,AN004,OOS015
LIMS_S038,B118,ProductA,Raw Material,Identification,,,Negative,,Fail,2024-09-16,AN001,OOS016
LIMS_S039,B124,ProductA,Raw Material,Identification,,,Positive,,Pass,2025-03-25,AN004,
LIMS_S040,B005,Product D,Stability,Purity,99.0,100.1,99.1,%,Pass,2025-04-10,AN004,
LIMS_S041,B022,ProductA,In-Process,Dissolution,,,,,Pass,2024-08-22,AN005,
LIMS_S042,B023,ProductB,In-Process,pH,6.5,7.5,6.1,,Fail,2024-11-11,AN003,OOS017
LIMS_S043,B138,ProductC,Raw Material,Identification,,,Negative,,Fail,2024-08-10,AN004,
LIMS_S044,B095,ProductC,Finished Product,Dissolution,,,,,Pass,2024-07-18,AN002,
LIMS_S045,B001,ProductA,In-Process,Assay,98.0,102.0,99.8,%,Pass,2025-05-04,AN002,
LIMS_S046,B079,ProductA,In-Process,Appearance,,,Particulates Observed,,Fail,2024-12-03,AN004,OOS018
LIMS_S047,B022,ProductA,Raw Material,Identification,,,Positive,,Pass,2024-08-22,AN003,
LIMS_S048,B009,ProductA,Finished Product,Assay,98.0,102.0,99.7,%,Pass,2024-08-20,AN004,
LIMS_S049,B007,Product D,Finished Product,Assay,98.0,102.0,100.9,%,Pass,2024-12-05,AN001,
LIMS_S050,B001,ProductA,Raw Material,Identification,,,Positive,,Pass,2025-05-04,AN005,
LIMS_S051,B017,ProductC,Finished Product,Color Check,,,Slightly Yellow,,Fail,2024-12-16,AN003,OOS019
LIMS_S052,B101,Product D,In-Process,Dissolution,,,,,Fail,2024-12-20,AN003,OOS020
LIMS_S053,B028,ProductC,In-Process,Dissolution,,,,,Pass,2024-12-18,AN002,
LIMS_S054,B049,ProductB,Raw Material,Identification,,,Conforms,,Pass,2025-05-21,AN004,
LIMS_S055,B118,ProductA,Stability,Viscosity,100.0,150.0,146.0,cP,Pass,2024-09-11,AN001,
LIMS_S056,B032,ProductA,In-Process,Assay,98.0,102.0,100.0,%,Pass,2025-01-17,AN003,
LIMS_S057,B001,ProductA,Raw Material,Identification,,,Conforms,,Pass,2025-05-05,AN003,
LIMS_S058,B148,ProductB,Stability,Assay,98.0,102.0,98.4,%,Pass,2024-12-11,AN003,
LIMS_S059,B035,ProductB,In-Process,Dissolution,,,,,OOS Investigating,2024-11-27,AN002,
LIMS_S060,B092,ProductB,In-Process,Dissolution,,,,,OOS Investigating,2025-03-10,AN005,
LIMS_S061,B138,ProductC,Finished Product,Dissolution,,,,,Fail,2024-08-10,AN001,OOS021
LIMS_S062,B112,ProductC,Finished Product,Viscosity,100.0,150.0,143.0,cP,Pass,2024-12-17,AN002,
LIMS_S063,B008,ProductA,Raw Material,Identification,,,Positive,,Pass,2024-08-27,AN004,
LIMS_S064,B010,ProductC,Finished Product,Purity,99.0,100.1,99.8,%,Pass,2024-12-15,AN005,
LIMS_S065,B044,ProductC,Raw Material,Identification,,,Positive,,Pass,2024-12-19,AN001,
LIMS_S066,B082,ProductC,Raw Material,Identification,,,Conforms,,Pass,2024-10-29,AN004,
LIMS_S067,B001,ProductA,Finished Product,Dissolution,,,,,Fail,2025-05-05,AN004,OOS022
LIMS_S068,B031,Product D,In-Process,Identification,,,Positive,,Pass,2024-11-28,AN004,
LIMS_S069,B002,ProductB,In-Process,Appearance,,,Clear Solution,,Pass,2024-08-06,AN004,
LIMS_S070,B076,ProductB,Finished Product,pH,6.5,7.5,6.9,,Pass,2024-12-23,AN003,
LIMS_S071,B066,Product D,Raw Material,Identification,,,Conforms,,Pass,2025-04-19,AN002,
LIMS_S072,B001,ProductA,Stability,Dissolution,,,,,OOS Investigating,2025-05-07,AN002,
LIMS_S073,B119,Product D,In-Process,Appearance,,,Clear Solution,,Pass,2024-09-10,AN004,
LIMS_S074,B071,Product D,Raw Material,Identification,,,Conforms,,Pass,2025-03-25,AN002,
LIMS_S075,B045,ProductA,Raw Material,Identification,,,Positive,,Pass,2025-01-30,AN004,
LIMS_S076,B046,ProductC,In-Process,Purity,99.0,100.1,99.8,%,Pass,2024-12-21,AN001,
LIMS_S077,B006,Product D,Stability,Viscosity,100.0,150.0,119.0,cP,Pass,2024-06-26,AN004,
LIMS_S078,B108,ProductB,In-Process,Dissolution,,,,,OOS Investigating,2024-12-21,AN003,
LIMS_S079,B099,ProductB,In-Process,Viscosity,100.0,150.0,127.0,cP,Pass,2025-03-10,AN004,
LIMS_S080,B035,ProductB,Finished Product,Purity,99.0,100.1,99.6,%,Pass,2024-11-29,AN005,
LIMS_S081,B013,ProductC,Finished Product,Purity,99.0,100.1,98.5,%,Fail,2024-09-04,AN002,OOS023
LIMS_S082,B149,ProductA,Stability,Appearance,,,Slightly Hazy,,Fail,2025-05-07,AN002,OOS024
LIMS_S083,B141,Product D,Stability,Viscosity,100.0,150.0,96.0,cP,Fail,2025-06-12,AN002,OOS025
LIMS_S084,B125,ProductB,In-Process,Assay,98.0,102.0,97.3,%,Fail,2024-12-24,AN003,OOS026
LIMS_S085,B073,ProductA,In-Process,pH,6.5,7.5,6.2,,Fail,2025-05-06,AN003,OOS027
LIMS_S086,B133,ProductB,Stability,Dissolution,,,,,Pass,2024-08-13,AN001,
LIMS_S087,B055,ProductB,In-Process,Viscosity,100.0,150.0,134.0,cP,Pass,2025-05-23,AN002,
LIMS_S088,B024,ProductC,In-Process,Color Check,,,Slightly Yellow,,Fail,2024-09-06,AN001,OOS028
LIMS_S089,B082,ProductC,Stability,Purity,99.0,100.1,98.5,%,Fail,2024-10-27,AN001,
LIMS_S090,B068,ProductB,In-Process,Dissolution,,,,,Pass,2024-12-14,AN004,
LIMS_S091,B020,ProductA,Stability,Dissolution,,,,,Pass,2024-11-28,AN001,
LIMS_S092,B025,Product D,In-Process,Purity,99.0,100.1,99.5,%,Pass,2024-12-14,AN005,
LIMS_S093,B080,ProductB,In-Process,Purity,99.0,100.1,98.9,%,Fail,2025-01-13,AN001,OOS029
LIMS_S094,B035,ProductB,Raw Material,Identification,,,Negative,,Fail,2024-11-26,AN002,OOS030
LIMS_S095,B020,ProductA,Finished Product,Purity,99.0,100.1,98.7,%,Fail,2024-11-27,AN004,OOS031
LIMS_S096,B060,ProductA,Raw Material,Identification,,,Negative,,Fail,2025-02-19,AN001,OOS032
LIMS_S097,B085,ProductC,Stability,Appearance,,,Slightly Hazy,,Fail,2025-03-11,AN004,OOS033
LIMS_S098,B075,ProductB,Finished Product,Assay,98.0,102.0,99.2,%,Pass,2024-08-13,AN001,
LIMS_S099,B095,ProductC,Finished Product,Purity,99.0,100.1,98.9,%,Fail,2024-07-20,AN002,OOS034
LIMS_S100,B066,Product D,In-Process,Assay,98.0,102.0,97.8,%,Fail,2025-04-17,AN001,OOS035
LIMS_S101,B046,ProductC,Finished Product,Identification,,,Conforms,,Pass,2024-12-17,AN002,
LIMS_S102,B008,ProductA,Finished Product,Assay,98.0,102.0,99.6,%,Pass,2024-08-25,AN001,
LIMS_S103,B076,ProductB,Finished Product,Identification,,,Negative,,Fail,2024-12-25,AN001,
LIMS_S104,B005,Product D,Raw Material,Identification,,,Positive,,Pass,2025-04-09,AN005,
LIMS_S105,B025,Product D,Finished Product,Purity,99.0,100.1,99.2,%,Pass,2024-12-15,AN002,
LIMS_S106,B023,ProductB,Raw Material,Identification,,,Negative,,Fail,2024-11-14,AN003,OOS036
LIMS_S107,B148,ProductB,In-Process,Assay,98.0,102.0,102.3,%,Fail,2024-12-13,AN005,OOS037
LIMS_S108,B116,ProductC,Finished Product,Purity,99.0,100.1,99.4,%,Pass,2025-04-15,AN004,
LIMS_S109,B092,ProductB,Stability,Viscosity,100.0,150.0,91.0,cP,Fail,2025-03-11,AN001,OOS038
LIMS_S110,B146,ProductC,Raw Material,Identification,,,Positive,,Pass,2025-05-10,AN005,
LIMS_S111,B116,ProductC,Finished Product,Dissolution,,,,,OOS Investigating,2025-04-13,AN002,
LIMS_S112,B107,Product D,Finished Product,Dissolution,,,,,Fail,2025-03-28,AN005,
LIMS_S113,B080,ProductB,Finished Product,Purity,99.0,100.1,98.4,%,Fail,2025-01-13,AN001,OOS039
LIMS_S114,B028,ProductC,Finished Product,Viscosity,100.0,150.0,97.0,cP,Fail,2024-12-18,AN002,OOS040
LIMS_S115,B144,ProductC,Finished Product,pH,6.5,7.5,6.9,,Pass,2024-10-08,AN005,
LIMS_S116,B093,ProductC,In-Process,Purity,99.0,100.1,99.0,%,Pass,2024-09-11,AN004,
LIMS_S117,B069,ProductA,Finished Product,Dissolution,,,,,OOS Investigating,2025-06-08,AN005,
LIMS_S118,B128,Product D,Stability,Assay,98.0,102.0,98.2,%,Pass,2024-10-22,AN001,
LIMS_S119,B079,ProductA,Finished Product,Assay,98.0,102.0,99.3,%,Pass,2024-12-01,AN002,
LIMS_S120,B047,Product D,In-Process,Identification,,,Conforms,,Pass,2025-02-18,AN001,
LIMS_S121,B144,ProductC,Finished Product,Dissolution,,,,,Fail,2024-10-10,AN004,OOS041
LIMS_S122,B008,ProductA,Finished Product,Assay,98.0,102.0,98.8,%,Pass,2024-08-23,AN004,
LIMS_S123,B148,ProductB,Stability,Identification,,,Conforms,,Pass,2024-12-13,AN002,
LIMS_S124,B141,Product D,Stability,Identification,,,Negative,,Fail,2025-06-12,AN001,OOS042
LIMS_S125,B005,Product D,Stability,Assay,98.0,102.0,99.7,%,Pass,2025-04-08,AN001,
LIMS_S126,B098,ProductC,Raw Material,Identification,,,Positive,,Pass,2024-12-20,AN001,
LIMS_S127,B063,ProductA,Finished Product,Assay,98.0,102.0,98.9,%,Pass,2024-11-25,AN005,
LIMS_S128,B149,ProductA,Raw Material,Identification,,,Conforms,,Pass,2025-05-08,AN005,
LIMS_S129,B098,ProductC,Finished Product,Purity,99.0,100.1,99.6,%,Pass,2024-12-21,AN002,
LIMS_S130,B056,ProductB,In-Process,Assay,98.0,102.0,101.3,%,Pass,2024-12-20,AN001,
LIMS_S131,B005,Product D,Finished Product,Assay,98.0,102.0,98.4,%,Pass,2025-04-08,AN003,
LIMS_S132,B079,ProductA,Stability,Assay,98.0,102.0,98.7,%,Pass,2024-12-03,AN002,
LIMS_S133,B068,ProductB,Raw Material,Identification,,,Conforms,,Pass,2024-12-17,AN002,
LIMS_S134,B080,ProductB,In-Process,Purity,99.0,100.1,98.0,%,Fail,2025-01-12,AN003,OOS043
LIMS_S135,B107,Product D,In-Process,Color Check,,,Colorless,,Pass,2025-03-26,AN001,
LIMS_S136,B025,Product D,In-Process,Assay,98.0,102.0,99.3,%,Pass,2024-12-13,AN004,
LIMS_S137,B097,ProductC,Finished Product,Assay,98.0,102.0,100.7,%,Pass,2024-07-13,AN004,
LIMS_S138,B049,ProductB,In-Process,Assay,98.0,102.0,99.9,%,Pass,2025-05-18,AN003,
LIMS_S139,B031,Product D,Raw Material,Identification,,,Conforms,,Pass,2024-11-27,AN002,
LIMS_S140,B024,ProductC,Stability,Assay,98.0,102.0,99.0,%,Pass,2024-09-10,AN004,
LIMS_S141,B022,ProductA,Stability,Appearance,,,Slightly Hazy,,Fail,2024-08-22,AN001,OOS044
LIMS_S142,B077,ProductC,In-Process,Dissolution,,,,,OOS Investigating,2025-06-03,AN004,
LIMS_S143,B006,Product D,Stability,Identification,,,Negative,,Fail,2024-06-25,AN005,OOS045
LIMS_S144,B091,ProductA,Finished Product,pH,6.5,7.5,6.4,,Fail,2024-09-20,AN005,OOS046
LIMS_S145,B091,ProductA,Stability,Viscosity,100.0,150.0,130.0,cP,Pass,2024-09-17,AN005,
LIMS_S146,B001,ProductA,Raw Material,Identification,,,Positive,,Pass,2025-05-05,AN004,
LIMS_S147,B080,ProductB,Finished Product,Dissolution,,,,,Fail,2025-01-15,AN002,OOS047
LIMS_S148,B047,Product D,Raw Material,Identification,,,Positive,,Pass,2025-02-17,AN002,
LIMS_S149,B005,Product D,Raw Material,Identification,,,Conforms,,Pass,2025-04-12,AN003,
LIMS_S150,B044,Product D,Finished Product,Assay,98.0,102.0,98.3,%,Pass,2024-12-21,AN002,
LIMS_S151,B142,ProductB,Stability,Dissolution,,,,,Fail,2024-12-20,AN002,OOS048
LIMS_S152,B022,ProductA,Finished Product,Assay,98.0,102.0,97.8,%,Fail,2024-08-22,AN002,OOS049
LIMS_S153,B013,ProductC,In-Process,Dissolution,,,,,OOS Investigating,2024-09-06,AN004,
LIMS_S154,B076,ProductB,Stability,Dissolution,,,,,Fail,2024-12-22,AN002,OOS050
LIMS_S155,B093,ProductC,Stability,Assay,98.0,102.0,97.1,%,Fail,2024-09-11,AN001,OOS051
LIMS_S156,B108,ProductA,Finished Product,Assay,98.0,102.0,99.4,%,Pass,2024-12-17,AN005,
LIMS_S157,B021,ProductA,Stability,Color Check,,,Off-color,,Fail,2024-09-22,AN005,OOS052
LIMS_S158,B068,ProductB,Raw Material,Identification,,,Conforms,,Pass,2024-12-16,AN005,
LIMS_S159,B069,ProductA,In-Process,pH,6.5,7.5,8.0,,Fail,2025-06-08,AN004,OOS053
LIMS_S160,B004,Product D,Stability,Identification,,,Conforms,,Pass,2024-12-21,AN002,
LIMS_S161,B035,ProductB,Raw Material,Identification,,,Negative,,Fail,2024-11-29,AN002,
LIMS_S162,B017,ProductB,Stability,Purity,99.0,100.1,99.8,%,Pass,2024-12-17,AN003,
LIMS_S163,B067,ProductB,Finished Product,Assay,98.0,102.0,99.7,%,Pass,2024-09-29,AN004,
LIMS_S164,B007,Product D,In-Process,Dissolution,,,,,Pass,2024-12-06,AN003,
LIMS_S165,B108,ProductC,Raw Material,Identification,,,Positive,,Pass,2024-12-18,AN002,
LIMS_S166,B045,ProductA,Raw Material,Identification,,,Positive,,Pass,2025-01-25,AN005,
LIMS_S167,B103,ProductA,Raw Material,Identification,,,Positive,,Pass,2025-02-09,AN003,
LIMS_S168,B018,Product D,Finished Product,Dissolution,,,,,Pass,2024-07-14,AN005,
LIMS_S169,B073,ProductA,Finished Product,Assay,98.0,102.0,98.9,%,Pass,2025-05-09,AN004,
LIMS_S170,B005,Product D,In-Process,Assay,98.0,102.0,99.3,%,Pass,2025-04-10,AN004,
LIMS_S171,B005,Product D,Finished Product,Dissolution,,,,,Pass,2025-04-09,AN004,
LIMS_S172,B035,ProductB,In-Process,Dissolution,,,,,Fail,2024-11-29,AN003,
LIMS_S173,B148,ProductB,Raw Material,Identification,,,Positive,,Pass,2024-12-09,AN003,
LIMS_S174,B006,Product D,Finished Product,pH,6.5,7.5,7.1,,Pass,2024-06-24,AN004,
LIMS_S175,B068,ProductB,Finished Product,Dissolution,,,,,Pass,2024-12-15,AN002,
LIMS_S176,B079,ProductA,Raw Material,Identification,,,Positive,,Pass,2024-12-02,AN005,
LIMS_S177,B025,Product D,Stability,Assay,98.0,102.0,99.3,%,Pass,2024-12-14,AN001,
LIMS_S178,B017,Product D,In-Process,Assay,98.0,102.0,99.1,%,Pass,2024-12-18,AN001,
LIMS_S179,B009,ProductA,Stability,Purity,99.0,100.1,98.9,%,Fail,2024-08-24,AN003,OOS054
LIMS_S180,B116,ProductC,Finished Product,Identification,,,Conforms,,Pass,2025-04-14,AN001,
LIMS_S181,B017,ProductC,Finished Product,Assay,98.0,102.0,101.0,%,Pass,2024-12-20,AN002,
LIMS_S182,B076,ProductB,In-Process,Viscosity,100.0,150.0,91.0,cP,Fail,2024-12-21,AN002,OOS055
LIMS_S183,B069,ProductA,Finished Product,Assay,98.0,102.0,98.1,%,Pass,2025-06-06,AN003,
LIMS_S184,B125,ProductB,Raw Material,Identification,,,Conforms,,Pass,2024-12-21,AN001,
LIMS_S185,B124,ProductA,Raw Material,Identification,,,Negative,,Fail,2025-03-25,AN002,OOS056
LIMS_S186,B138,ProductC,In-Process,Assay,98.0,102.0,97.3,%,Fail,2024-08-12,AN001,OOS057
LIMS_S187,B021,ProductA,Finished Product,Assay,98.0,102.0,99.1,%,Pass,2024-09-18,AN004,
LIMS_S188,B138,ProductC,Raw Material,Identification,,,Negative,,Fail,2024-08-14,AN001,OOS058
LIMS_S189,B059,ProductC,Stability,Assay,98.0,102.0,97.2,%,Fail,2025-03-09,AN004,OOS059
LIMS_S190,B066,Product D,Finished Product,Dissolution,,,,,Fail,2025-04-19,AN004,OOS060
LIMS_S191,B091,ProductA,Stability,Dissolution,,,,,OOS Investigating,2024-09-19,AN004,
LIMS_S192,B001,ProductA,Finished Product,Assay,98.0,102.0,95.9,%,Fail,2025-05-08,AN002,OOS061
LIMS_S193,B004,Product D,Finished Product,Assay,98.0,102.0,93.2,%,Fail,2024-12-20,AN004,OOS002
LIMS_S194,B107,Product D,Raw Material,Identification,,,Positive,,Pass,2025-03-26,AN004,
LIMS_S195,B044,ProductB,Stability,Purity,99.0,100.1,99.8,%,Pass,2024-12-19,AN002,
LIMS_S196,B005,Product D,In-Process,Purity,99.0,100.1,99.8,%,Pass,2025-04-12,AN003,
LIMS_S197,B107,Product D,In-Process,Assay,98.0,102.0,101.0,%,Pass,2025-03-24,AN002,
LIMS_S198,B005,Product D,In-Process,Assay,98.0,102.0,99.7,%,Pass,2025-04-10,AN004,
LIMS_S199,B092,ProductB,Raw Material,Identification,,,Negative,,Fail,2025-03-11,AN005,OOS063
LIMS_S200,B095,ProductC,Finished Product,Purity,99.0,100.1,98.2,%,Fail,2024-07-17,AN003,OOS064
