Work_Order_ID,Batch_ID,Product_Code,Master_Recipe_ID,Batch_Phase,Phase_Step,Parameter_Name,Parameter_Value,Performed_By,Verified_By,Execution_Timestamp,Execution_Status,Equipment_ID
WO-2025172,B2025172,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Excipient X,MAT-001,85.38,OP-wagnerjason,OP-garzaeric,2024-08-13 08:22:54,,N/A
WO-2025172,B2025172,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Coating Agent Z,MAT-003,94.21,OP-garzaeric,,2024-08-13 08:31:54,,N/A
WO-2025172,B2025172,PROD-004,RECIPE-PROD-004-V3,Manufacturing,Heating Step,Temperature,78.0,OP-kyle12,OP-thomas69,2024-08-13 10:04:54,Within Spec,EQP005
WO-2025172,B2025172,PROD-004,RECIPE-PROD-004-V3,Manufacturing,pH Adjustment,pH,7.43,OP-kyle12,OP-cramos,2024-08-13 12:04:54,Within Spec,EQP005
WO-2025172,B2025172,Product D,RECIPE-PROD-004-V3,Packaging,Final Label Check,Label Verification,Pass,OP-kyle12,OP-thomas69,2024-08-13 16:04:54,Completed,PKG-LINE-01
WO-2025128,B2025128,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense Coating Agent Z,MAT-003,56.96,OP-efigueroa,OP-wagnerjason,2024-12-30 01:08:45,,N/A
WO-2025128,B2025128,PROD-002,RECIPE-PROD-002-V1,Dispensing,Dispense API-Alpha,MAT-002,93.53,OP-cody37,OP-istanton,2024-12-30 01:32:45,,N/A
WO-2025128,B2025128,PROD-002,RECIPE-PROD-002-V1,Manufacturing,Heating Step,Temperature,71.2,OP-dana45,OP-rachaelclark,2024-12-30 03:03:45,Within Spec,EQP006
WO-2025128,B2025128,PROD-002,RECIPE-PROD-002-V1,Manufacturing,pH Adjustment,pH,7.36,OP-dana45,OP-cody37,2024-12-30 05:03:45,Within Spec,EQP006
WO-2025207,B2025207,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Coating Agent Z,MAT-003,80.53,OP-john51,OP-istanton,2024-12-02 05:41:22,,N/A
WO-2025207,B2025207,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense API-Alpha,MAT-002,55.83,OP-kyle12,OP-cramos,2024-12-02 05:41:22,,N/A
WO-2025207,B2025207,PROD-004,RECIPE-PROD-004-V3,Dispensing,Dispense Excipient X,MAT-001,56.1,OP-cody37,OP-wagnerjason,2024-12-02 05:48:22,,N/A
WO-2025207,B2025207,PROD-004,RECIPE-PROD-004-V3,Manufacturing,Heating Step,Temperature,82.5,OP-garzaeric,OP-garzaeric,2024-12-02 07:20:22,Out of Spec,EQP006
WO-2025207,B2025207,PROD-004,RECIPE-PROD-004-V3,Manufacturing,pH Adjustment,pH,6.78,OP-garzaeric,OP-wagnerjason,2024-12-02 09:20:22,Within Spec,EQP006
WO-2025207,B2025207,Product D,RECIPE-PROD-004-V3,Packaging,Final Label Check,Label Verification,Pass,OP-garzaeric,OP-istanton,2024-12-02 13:20:22,Completed,PKG-LINE-01
WO-2025116,B2025116,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense Coating Agent Z,MAT-003,54.46,OP-istanton,OP-hoffmanalvin,2025-01-02 20:30:57,,N/A
WO-2025116,B2025116,PROD-001,RECIPE-PROD-001-V3,Dispensing,Dispense API-Alpha,MAT-002,55.16,OP-wagnerjason,OP-hoffmanalvin,2025-01-02 20:19:57,,N/A
WO-2025116,B2025116,PROD-001,RECIPE-PROD-001-V3,Manufacturing,Heating Step,Temperature,74.1,OP-istanton,OP-rachaelclark,2025-01-02 22:03:57,Within Spec,EQP003
WO-2025116,B2025116,PROD-001,RECIPE-PROD-001-V3,Manufacturing,pH Adjustment,pH,6.8,OP-istanton,OP-thomas69,2025-01-03 00:03:57,Within Spec,EQP003
WO-2025019,B2025019,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Excipient X,MAT-001,85.99,OP-john51,OP-dsmith,2025-02-25 18:08:45,,N/A
WO-2025019,B2025019,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense API-Alpha,MAT-002,97.84,OP-dsmith,OP-cramos,2025-02-25 18:00:45,,N/A
WO-2025019,B2025019,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Coating Agent Z,MAT-003,92.04,OP-rachaelclark,OP-john51,2025-02-25 18:01:45,,N/A
WO-2025019,B2025019,PROD-003,RECIPE-PROD-003-V3,Manufacturing,Heating Step,Temperature,80.8,OP-wagnerjason,OP-veronicascott,2025-02-25 19:41:45,Out of Spec,EQP007
WO-2025019,B2025019,PROD-003,RECIPE-PROD-003-V3,Manufacturing,pH Adjustment,pH,7.79,OP-wagnerjason,OP-rachaelclark,2025-02-25 21:41:45,Out of Spec,EQP007
WO-2025083,B2025083,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Excipient X,MAT-001,80.45,OP-hoffmanalvin,OP-efigueroa,2025-04-11 05:17:12,,N/A
WO-2025083,B2025083,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Coating Agent Z,MAT-003,96.45,OP-cody37,OP-istanton,2025-04-11 05:07:12,,N/A
WO-2025083,B2025083,PROD-003,RECIPE-PROD-003-V3,Manufacturing,Heating Step,Temperature,81.4,OP-kyle12,OP-hoffmanalvin,2025-04-11 06:52:12,Out of Spec,EQP006
WO-2025083,B2025083,PROD-003,RECIPE-PROD-003-V3,Manufacturing,pH Adjustment,pH,6.59,OP-kyle12,OP-cramos,2025-04-11 08:52:12,Within Spec,EQP006
WO-2025191,B2025191,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Excipient X,MAT-001,87.38,OP-rachaelclark,OP-john51,2024-07-08 03:55:33,,N/A
WO-2025191,B2025191,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Coating Agent Z,MAT-003,52.18,OP-dana45,OP-dsmith,2024-07-08 03:43:33,,N/A
WO-2025191,B2025191,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense API-Alpha,MAT-002,77.87,OP-istanton,OP-veronicascott,2024-07-08 03:42:33,,N/A
WO-2025191,B2025191,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,84.3,OP-dsmith,OP-thomas69,2024-07-08 05:37:33,Out of Spec,EQP005
WO-2025191,B2025191,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,7.72,OP-dsmith,OP-garzaeric,2024-07-08 07:37:33,Out of Spec,EQP005
WO-2025191,B2025191,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-dsmith,OP-rachaelclark,2024-07-08 11:37:33,Completed,PKG-LINE-01
WO-2025046,B2025046,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Excipient X,MAT-001,97.64,OP-kyle12,OP-john51,2024-06-20 08:41:27,,N/A
WO-2025046,B2025046,PROD-003,RECIPE-PROD-003-V3,Dispensing,Dispense Coating Agent Z,MAT-003,83.59,OP-istanton,OP-hoffmanalvin,2024-06-20 08:58:27,,N/A
WO-2025046,B2025046,PROD-003,RECIPE-PROD-003-V3,Manufacturing,Heating Step,Temperature,74.1,OP-cody37,OP-kyle12,2024-06-20 10:29:27,Within Spec,EQP002
WO-2025046,B2025046,PROD-003,RECIPE-PROD-003-V3,Manufacturing,pH Adjustment,pH,7.68,OP-cody37,OP-cody37,2024-06-20 12:29:27,Out of Spec,EQP002
WO-2025014,B2025014,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Excipient X,MAT-001,68.28,OP-cramos,OP-dsmith,2024-09-12 08:17:24,,N/A
WO-2025014,B2025014,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense API-Alpha,MAT-002,50.69,OP-efigueroa,OP-garzaeric,2024-09-12 08:23:24,,N/A
WO-2025014,B2025014,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,81.6,OP-hoffmanalvin,OP-efigueroa,2024-09-12 10:05:24,Out of Spec,EQP007
WO-2025014,B2025014,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,6.87,OP-hoffmanalvin,OP-kyle12,2024-09-12 12:05:24,Within Spec,EQP007
WO-2025014,B2025014,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-hoffmanalvin,OP-garzaeric,2024-09-12 16:05:24,Completed,PKG-LINE-01
WO-2025068,B2025068,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Excipient X,MAT-001,82.83,OP-wagnerjason,OP-cody37,2024-08-28 01:59:11,,N/A
WO-2025068,B2025068,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense API-Alpha,MAT-002,54.36,OP-thomas69,OP-rachaelclark,2024-08-28 01:50:11,,N/A
WO-2025068,B2025068,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Coating Agent Z,MAT-003,98.5,OP-veronicascott,OP-hoffmanalvin,2024-08-28 01:44:11,,N/A
WO-2025068,B2025068,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,83.2,OP-rachaelclark,OP-istanton,2024-08-28 03:37:11,Out of Spec,EQP006
WO-2025068,B2025068,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,7.34,OP-rachaelclark,OP-dsmith,2024-08-28 05:37:11,Within Spec,EQP006
WO-2025068,B2025068,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-rachaelclark,OP-veronicascott,2024-08-28 09:37:11,Completed,PKG-LINE-01
WO-2025063,B2025063,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense Excipient X,MAT-001,75.6,OP-john51,OP-garzaeric,2024-06-21 00:53:20,,N/A
WO-2025063,B2025063,PROD-003,RECIPE-PROD-003-V1,Dispensing,Dispense Coating Agent Z,MAT-003,85.07,OP-wagnerjason,OP-garzaeric,2024-06-21 01:01:20,,N/A
WO-2025063,B2025063,PROD-003,RECIPE-PROD-003-V1,Manufacturing,Heating Step,Temperature,71.3,OP-dana45,OP-efigueroa,2024-06-21 02:45:20,Within Spec,EQP003
WO-2025063,B2025063,PROD-003,RECIPE-PROD-003-V1,Manufacturing,pH Adjustment,pH,6.84,OP-dana45,OP-hoffmanalvin,2024-06-21 04:45:20,Within Spec,EQP003
WO-2025099,B2025099,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense Excipient X,MAT-001,88.44,OP-kyle12,OP-rachaelclark,2025-04-13 13:07:25,,N/A
WO-2025099,B2025099,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense Coating Agent Z,MAT-003,66.24,OP-rachaelclark,OP-cramos,2025-04-13 12:58:25,,N/A
WO-2025099,B2025099,PROD-002,RECIPE-PROD-002-V2,Dispensing,Dispense API-Alpha,MAT-002,77.07,OP-istanton,,2025-04-13 13:05:25,,N/A
WO-2025099,B2025099,PROD-002,RECIPE-PROD-002-V2,Manufacturing,Heating Step,Temperature,83.6,OP-dana45,OP-efigueroa,2025-04-13 14:41:25,Out of Spec,EQP006
WO-2025099,B2025099,PROD-002,RECIPE-PROD-002-V2,Manufacturing,pH Adjustment,pH,7.06,OP-dana45,OP-cody37,2025-04-13 16:41:25,Within Spec,EQP006
WO-2025072,B2025072,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense API-Alpha,MAT-002,51.14,OP-veronicascott,OP-istanton,2024-10-07 00:58:02,,N/A
WO-2025072,B2025072,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Coating Agent Z,MAT-003,64.98,OP-veronicascott,OP-hoffmanalvin,2024-10-07 01:06:02,,N/A
WO-2025072,B2025072,PROD-004,RECIPE-PROD-004-V2,Manufacturing,Heating Step,Temperature,83.3,OP-wagnerjason,OP-garzaeric,2024-10-07 02:49:02,Out of Spec,EQP003
WO-2025072,B2025072,PROD-004,RECIPE-PROD-004-V2,Manufacturing,pH Adjustment,pH,7.91,OP-wagnerjason,OP-efigueroa,2024-10-07 04:49:02,Out of Spec,EQP003
WO-2025072,B2025072,Product D,RECIPE-PROD-004-V2,Packaging,Final Label Check,Label Verification,Pass,OP-wagnerjason,OP-efigueroa,2024-10-07 08:49:02,Completed,PKG-LINE-01
WO-2025082,B2025082,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense API-Alpha,MAT-002,74.58,OP-veronicascott,OP-wagnerjason,2025-05-21 17:27:46,,N/A
WO-2025082,B2025082,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Coating Agent Z,MAT-003,57.7,OP-efigueroa,OP-thomas69,2025-05-21 17:31:46,,N/A
WO-2025082,B2025082,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Excipient X,MAT-001,84.92,OP-rachaelclark,OP-cramos,2025-05-21 17:16:46,,N/A
WO-2025082,B2025082,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,84.9,OP-wagnerjason,OP-rachaelclark,2025-05-21 19:09:46,Out of Spec,EQP004
WO-2025082,B2025082,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,6.55,OP-wagnerjason,OP-kyle12,2025-05-21 21:09:46,Within Spec,EQP004
WO-2025082,B2025082,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-wagnerjason,OP-istanton,2025-05-22 01:09:46,Completed,PKG-LINE-01
WO-2025205,B2025205,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Coating Agent Z,MAT-003,51.33,OP-garzaeric,OP-istanton,2024-11-07 17:56:24,,N/A
WO-2025205,B2025205,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense Excipient X,MAT-001,68.54,OP-wagnerjason,OP-cody37,2024-11-07 17:38:24,,N/A
WO-2025205,B2025205,PROD-004,RECIPE-PROD-004-V1,Dispensing,Dispense API-Alpha,MAT-002,54.95,OP-cramos,OP-john51,2024-11-07 17:44:24,,N/A
WO-2025205,B2025205,PROD-004,RECIPE-PROD-004-V1,Manufacturing,Heating Step,Temperature,76.6,OP-john51,OP-john51,2024-11-07 19:33:24,Within Spec,EQP001
WO-2025205,B2025205,PROD-004,RECIPE-PROD-004-V1,Manufacturing,pH Adjustment,pH,6.02,OP-john51,OP-veronicascott,2024-11-07 21:33:24,Out of Spec,EQP001
WO-2025205,B2025205,Product D,RECIPE-PROD-004-V1,Packaging,Final Label Check,Label Verification,Pass,OP-john51,OP-veronicascott,2024-11-08 01:33:24,Completed,PKG-LINE-01
WO-2025214,B2025214,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Coating Agent Z,MAT-003,93.02,OP-hoffmanalvin,OP-cody37,2025-03-01 07:02:14,,N/A
WO-2025214,B2025214,PROD-001,RECIPE-PROD-001-V1,Dispensing,Dispense Excipient X,MAT-001,91.3,OP-istanton,OP-cody37,2025-03-01 07:23:14,,N/A
WO-2025214,B2025214,PROD-001,RECIPE-PROD-001-V1,Manufacturing,Heating Step,Temperature,74.2,OP-dana45,OP-john51,2025-03-01 08:56:14,Within Spec,EQP007
WO-2025214,B2025214,PROD-001,RECIPE-PROD-001-V1,Manufacturing,pH Adjustment,pH,6.8,OP-dana45,OP-thomas69,2025-03-01 10:56:14,Within Spec,EQP007
WO-2025111,B2025111,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense API-Alpha,MAT-002,55.11,OP-istanton,OP-rachaelclark,2025-05-16 17:54:25,,N/A
WO-2025111,B2025111,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Excipient X,MAT-001,63.13,OP-rachaelclark,OP-istanton,2025-05-16 17:54:25,,N/A
WO-2025111,B2025111,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense Coating Agent Z,MAT-003,67.0,OP-cramos,OP-hoffmanalvin,2025-05-16 17:48:25,,N/A
WO-2025111,B2025111,PROD-004,RECIPE-PROD-004-V2,Manufacturing,Heating Step,Temperature,74.7,OP-veronicascott,OP-cramos,2025-05-16 19:38:25,Within Spec,EQP003
WO-2025111,B2025111,PROD-004,RECIPE-PROD-004-V2,Manufacturing,pH Adjustment,pH,7.75,OP-veronicascott,OP-kyle12,2025-05-16 21:38:25,Out of Spec,EQP003
WO-2025111,B2025111,Product D,RECIPE-PROD-004-V2,Packaging,Final Label Check,Label Verification,Pass,OP-veronicascott,OP-cramos,2025-05-17 01:38:25,Completed,PKG-LINE-01
WO-2025049,B2025049,PROD-002,RECIPE-PROD-002-V3,Dispensing,Dispense API-Alpha,MAT-002,98.56,OP-hoffmanalvin,OP-efigueroa,2025-02-02 20:52:55,,N/A
WO-2025049,B2025049,PROD-002,RECIPE-PROD-002-V3,Dispensing,Dispense Excipient X,MAT-001,70.04,OP-cody37,OP-dsmith,2025-02-02 20:42:55,,N/A
WO-2025049,B2025049,PROD-002,RECIPE-PROD-002-V3,Dispensing,Dispense Coating Agent Z,MAT-003,82.61,OP-cody37,OP-john51,2025-02-02 21:02:55,,N/A
WO-2025049,B2025049,PROD-002,RECIPE-PROD-002-V3,Manufacturing,Heating Step,Temperature,81.3,OP-thomas69,OP-rachaelclark,2025-02-02 22:35:55,Out of Spec,EQP003
WO-2025049,B2025049,PROD-002,RECIPE-PROD-002-V3,Manufacturing,pH Adjustment,pH,6.07,OP-thomas69,OP-veronicascott,2025-02-03 00:35:55,Out of Spec,EQP003
WO-2025197,B2025197,PROD-004,RECIPE-PROD-004-V2,Dispensing,Dispense API-Alpha,MAT-002,93.48,OP-cramos,OP-istanton,2025-01-25 23:11:00,,N/A
