Lab_Sample_ID,Batch_ID,Product_Name,Sample_Type,Sample_Login_Timestamp,Sample_Status,Test_Name,Test_Method_ID,Instrument_ID,Spec_Limit_Min,Spec_Limit_Max,Result_Value,Result_UOM,Result_Status,Analyst_ID,Result_Entry_Timestamp,Reviewed_By,Approved_By
SMPL-00027,B2025006,ProductA,Finished Product,2024-09-08 19:15:33,Awaiting Test,pH,TM-pH-PROD-001,INST-pH-3,6.5,7.5,6.57,,Pass,AN-zcole,2024-09-08 22:15:33,QA-debra72,QA-douglas49
SMPL-00028,B2025105,ProductA,Finished Product,2024-06-24 19:35:21,Awaiting Test,Assay,TM-Assay-PROD-001,INST-Assay-1,98.0,102.0,101.5,%,Pass,AN-lauraodom,2024-06-24 20:35:21,QA-douglas49,QA-lambertscott
SMPL-00029,B2025054,ProductB,Finished Product,2024-10-07 10:21:51,Awaiting Test,Purity,TM-Purity-PROD-002,INST-Purity-3,99.0,,99.36,%,Pass,AN-zcole,2024-10-07 12:21:51,QA-douglas49,QA-georgejames
SMPL-00030,B2025143,ProductC,In-Process,2025-05-23 16:25:08,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-1,99.0,,99.46,%,Pass,AN-jose98,2025-05-23 20:25:08,QA-lambertscott,QA-debra72
SMPL-00031,B2025214,ProductA,Finished Product,2025-03-01 07:27:14,Awaiting Test,Purity,TM-Purity-PROD-001,INST-Purity-1,99.0,,,%,Test Not Performed,AN-lauraodom,2025-03-01 11:27:14,,
SMPL-00032,B2025161,ProductB,Finished Product,2024-12-04 21:20:28,Awaiting Test,pH,TM-pH-PROD-002,INST-pH-2,6.5,7.5,7.35,,Pass,AN-meyerjoseph,2024-12-05 01:20:28,,
SMPL-00033,B2025033,ProductB,Finished Product,2025-03-26 04:52:31,Awaiting Test,pH,TM-pH-PROD-002,INST-pH-1,6.5,7.5,6.58,,Pass,AN-meyerjoseph,2025-03-26 08:52:31,QA-douglas49,QA-debra72
SMPL-00034,B2025013,ProductB,Finished Product,2025-03-07 14:35:24,Awaiting Test,Assay,TM-Assay-PROD-002,INST-Assay-2,98.0,102.0,102.1,%,OOS,AN-lauraodom,2025-03-07 17:35:24,QA-lambertscott,
SMPL-00035,B2025050,ProductA,In-Process,2024-10-24 04:22:14,Awaiting Test,Purity,TM-Purity-PROD-001,INST-Purity-2,99.0,,99.59,%,Pass,AN-meyerjoseph,2024-10-24 05:22:14,,
SMPL-00036,B2025016,ProductC,In-Process,2024-07-05 15:24:41,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-1,99.0,,98.91,%,OOS,AN-teresa11,2024-07-05 16:24:41,QA-debra72,QA-georgejames
SMPL-00037,B2025179,ProductA,In-Process,2024-08-08 04:58:01,Awaiting Test,pH,TM-pH-PROD-001,INST-pH-1,6.5,7.5,6.52,,Pass,AN-jose98,2024-08-08 06:58:01,QA-lambertscott,QA-debra72
SMPL-00038,B2025070,ProductC,In-Process,2024-08-24 02:45:44,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-1,99.0,,98.92,%,OOS,AN-jose98,2024-08-24 05:45:44,,
SMPL-00039,B2025143,ProductC,Finished Product,2025-05-23 18:02:08,Awaiting Test,pH,TM-pH-PROD-003,INST-pH-1,6.5,7.5,6.75,,Pass,AN-jose98,2025-05-23 21:02:08,QA-debra72,
SMPL-00040,B2025183,Product D,Finished Product,2024-09-15 14:57:22,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-2,99.0,,99.91,%,Pass,AN-lauraodom,2024-09-15 18:57:22,QA-lambertscott,QA-debra72
SMPL-00041,B2025047,ProductA,In-Process,2025-04-09 01:42:44,Awaiting Test,Assay,TM-Assay-PROD-001,INST-Assay-1,98.0,102.0,100.7,%,Pass,AN-meyerjoseph,2025-04-09 02:42:44,QA-douglas49,QA-georgejames
SMPL-00042,B2025095,Product D,Finished Product,2024-12-31 14:17:46,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-3,99.0,,99.66,%,Pass,AN-bryantheather,2024-12-31 18:17:46,QA-douglas49,
SMPL-00043,B2025142,ProductC,Finished Product,2024-12-25 21:13:13,Awaiting Test,pH,TM-pH-PROD-003,INST-pH-2,6.5,7.5,7.47,,Pass,AN-meyerjoseph,2024-12-25 23:13:13,QA-debra72,QA-georgejames
SMPL-00044,B2025030,ProductC,In-Process,2024-12-18 16:31:56,Awaiting Test,Assay,TM-Assay-PROD-003,INST-Assay-3,98.0,102.0,102.0,%,Pass,AN-lauraodom,2024-12-18 20:31:56,QA-georgejames,QA-lambertscott
SMPL-00045,B2025012,ProductB,In-Process,2024-09-10 16:10:49,Awaiting Test,pH,TM-pH-PROD-002,INST-pH-1,6.5,7.5,6.88,,Pass,AN-teresa11,2024-09-10 20:10:49,QA-lambertscott,QA-douglas49
SMPL-00046,B2025179,ProductA,In-Process,2024-08-08 05:02:01,Awaiting Test,Assay,TM-Assay-PROD-001,INST-Assay-2,98.0,102.0,,%,Test Not Performed,AN-lauraodom,2024-08-08 06:02:01,,
SMPL-00047,B2025195,ProductB,Finished Product,2024-11-21 18:45:03,Awaiting Test,Purity,TM-Purity-PROD-002,INST-Purity-1,99.0,,99.57,%,Pass,AN-wallderek,2024-11-21 22:45:03,,
SMPL-00048,B2025126,ProductC,Finished Product,2024-11-11 08:24:44,Awaiting Test,pH,TM-pH-PROD-003,INST-pH-1,6.5,7.5,6.48,,OOS,AN-lauraodom,2024-11-11 09:24:44,QA-douglas49,QA-georgejames
SMPL-00049,B2025102,ProductC,In-Process,2025-03-23 15:40:39,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-1,99.0,,99.89,%,Pass,AN-bryantheather,2025-03-23 16:40:39,QA-douglas49,QA-georgejames
SMPL-00050,B2025141,ProductB,In-Process,2025-05-18 07:51:58,Awaiting Test,Purity,TM-Purity-PROD-002,INST-Purity-2,99.0,,99.98,%,Pass,AN-jose98,2025-05-18 10:51:58,QA-lambertscott,QA-debra72
SMPL-00051,B2025034,ProductB,Finished Product,2024-10-28 17:24:58,Awaiting Test,Assay,TM-Assay-PROD-002,INST-Assay-3,98.0,102.0,99.9,%,Pass,AN-meyerjoseph,2024-10-28 20:24:58,QA-debra72,QA-lambertscott
SMPL-00052,B2025202,Product D,Finished Product,2025-05-16 19:52:21,Awaiting Test,pH,TM-pH-PROD-004,INST-pH-1,6.5,7.5,6.75,,Pass,AN-jose98,2025-05-16 23:52:21,QA-douglas49,QA-debra72
SMPL-00053,B2025093,ProductA,In-Process,2025-01-17 01:43:59,Awaiting Test,Assay,TM-Assay-PROD-001,INST-Assay-3,98.0,102.0,98.0,%,Pass,AN-teresa11,2025-01-17 04:43:59,QA-douglas49,QA-debra72
SMPL-00054,B2025123,ProductA,In-Process,2025-01-28 05:06:44,Awaiting Test,Purity,TM-Purity-PROD-001,INST-Purity-3,99.0,,98.88,%,OOS,AN-teresa11,2025-01-28 09:06:44,QA-lambertscott,QA-douglas49
SMPL-00055,B2025049,ProductB,Finished Product,2025-02-02 22:39:55,Awaiting Test,Purity,TM-Purity-PROD-002,INST-Purity-3,99.0,,98.93,%,OOS,AN-lauraodom,2025-02-02 23:39:55,QA-debra72,QA-georgejames
SMPL-00056,B2025040,Product D,In-Process,2024-11-23 18:02:08,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-1,99.0,,99.18,%,Pass,AN-wallderek,2024-11-23 22:02:08,QA-georgejames,QA-lambertscott
SMPL-00057,B2025130,ProductB,Finished Product,2024-12-11 13:03:21,Awaiting Test,Purity,TM-Purity-PROD-002,INST-Purity-3,99.0,,98.97,%,OOS,AN-teresa11,2024-12-11 15:03:21,QA-lambertscott,QA-georgejames
SMPL-00058,B2025132,ProductC,Finished Product,2025-01-11 21:27:30,Awaiting Test,Assay,TM-Assay-PROD-003,INST-Assay-1,98.0,102.0,99.8,%,Pass,AN-zcole,2025-01-11 23:27:30,QA-lambertscott,QA-douglas49
SMPL-00059,B2025200,ProductC,Finished Product,2024-07-28 01:50:55,Awaiting Test,Assay,TM-Assay-PROD-003,INST-Assay-1,98.0,102.0,99.9,%,Pass,AN-meyerjoseph,2024-07-28 05:50:55,,
SMPL-00060,B2025188,Product D ,In-Process,2025-03-16 09:52:46,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-2,99.0,,99.52,%,Pass,AN-wallderek,2025-03-16 12:52:46,QA-georgejames,QA-douglas49
SMPL-00061,B2025146,ProductB,Finished Product,2024-09-19 07:49:04,Awaiting Test,pH,TM-pH-PROD-002,INST-pH-3,6.5,7.5,,,Test Not Performed,AN-zcole,2024-09-19 10:49:04,,
SMPL-00062,B2025162,Product D ,Finished Product,2025-02-01 06:46:19,Awaiting Test,Assay,TM-Assay-PROD-004,INST-Assay-3,98.0,102.0,98.9,%,Pass,AN-jose98,2025-02-01 08:46:19,QA-georgejames,QA-debra72
SMPL-00063,B2025070,ProductC,In-Process,2024-08-24 03:47:44,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-2,99.0,,99.02,%,Pass,AN-lauraodom,2024-08-24 07:47:44,,
SMPL-00064,B2025125,ProductA,In-Process,2024-11-15 18:00:23,Awaiting Test,Purity,TM-Purity-PROD-001,INST-Purity-1,99.0,,99.9,%,Pass,AN-jose98,2024-11-15 20:00:23,QA-debra72,QA-lambertscott
SMPL-00065,B2025208,ProductA,Finished Product,2025-04-29 15:54:34,Awaiting Test,pH,TM-pH-PROD-001,INST-pH-2,6.5,7.5,7.44,,Pass,AN-teresa11,2025-04-29 17:54:34,QA-debra72,
SMPL-00066,B2025173,ProductA,In-Process,2025-05-09 04:31:24,Awaiting Test,pH,TM-pH-PROD-001,INST-pH-3,6.5,7.5,6.95,,Pass,AN-jose98,2025-05-09 08:31:24,QA-lambertscott,QA-debra72
SMPL-00067,B2025062,Product D,Finished Product,2025-03-06 01:51:04,Awaiting Test,pH,TM-pH-PROD-004,INST-pH-1,6.5,7.5,6.65,,Pass,AN-wallderek,2025-03-06 05:51:04,QA-georgejames,QA-debra72
SMPL-00068,B2025195,ProductB,Finished Product,2024-11-21 17:28:03,Awaiting Test,Assay,TM-Assay-PROD-002,INST-Assay-3,98.0,102.0,101.7,%,Pass,AN-zcole,2024-11-21 19:28:03,QA-lambertscott,
SMPL-00069,B2025064,ProductC,In-Process,2025-03-21 01:57:52,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-3,99.0,,99.61,%,Pass,AN-jose98,2025-03-21 03:57:52,QA-douglas49,QA-lambertscott
SMPL-00070,B2025063,ProductC,In-Process,2024-06-21 02:02:20,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-3,99.0,,98.85,%,OOS,AN-lauraodom,2024-06-21 03:02:20,QA-debra72,QA-georgejames
SMPL-00071,B2025008,Product D,In-Process,2025-04-13 19:54:43,Awaiting Test,Assay,TM-Assay-PROD-004,INST-Assay-2,98.0,102.0,100.3,%,Pass,AN-meyerjoseph,2025-04-13 21:54:43,QA-debra72,QA-georgejames
SMPL-00072,B2025155,ProductB,Finished Product,2024-09-16 10:37:05,Awaiting Test,Assay,TM-Assay-PROD-002,INST-Assay-2,98.0,102.0,99.8,%,Pass,AN-wallderek,2024-09-16 12:37:05,,
SMPL-00073,B2025023,ProductB,In-Process,2024-12-27 23:54:25,Awaiting Test,pH,TM-pH-PROD-002,INST-pH-2,6.5,7.5,6.88,,Pass,AN-meyerjoseph,2024-12-28 03:54:25,QA-debra72,QA-douglas49
SMPL-00074,B2025107,ProductC,Finished Product,2024-09-27 15:05:16,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-2,99.0,,99.14,%,Pass,AN-bryantheather,2024-09-27 19:05:16,QA-georgejames,QA-debra72
SMPL-00075,B2025080,Product D ,Finished Product,2024-07-08 01:30:39,Awaiting Test,pH,TM-pH-PROD-004,INST-pH-1,6.5,7.5,7.36,,Pass,AN-meyerjoseph,2024-07-08 04:30:39,QA-douglas49,
SMPL-00076,B2025101,ProductB,Finished Product,2025-06-14 23:04:04,Awaiting Test,pH,TM-pH-PROD-002,INST-pH-3,6.5,7.5,,,Test Not Performed,AN-jose98,2025-06-15 02:04:04,,
SMPL-00077,B2025162,Product D,Finished Product,2025-02-01 06:45:19,Awaiting Test,Assay,TM-Assay-PROD-004,INST-Assay-2,98.0,102.0,101.6,%,Pass,AN-teresa11,2025-02-01 09:45:19,QA-debra72,QA-georgejames
SMPL-00078,B2025054,ProductB,In-Process,2024-10-07 09:53:51,Awaiting Test,Purity,TM-Purity-PROD-002,INST-Purity-1,99.0,,99.52,%,Pass,AN-wallderek,2024-10-07 12:53:51,QA-lambertscott,QA-georgejames
SMPL-00079,B2025131,ProductA,Finished Product,2025-05-19 14:19:33,Awaiting Test,Assay,TM-Assay-PROD-001,INST-Assay-1,98.0,102.0,97.5,%,OOS,AN-wallderek,2025-05-19 15:19:33,QA-georgejames,QA-debra72
SMPL-00080,B2025104,Product D,In-Process,2024-11-01 04:23:41,Awaiting Test,pH,TM-pH-PROD-004,INST-pH-3,6.5,7.5,6.53,,Pass,AN-teresa11,2024-11-01 08:23:41,QA-debra72,QA-georgejames
SMPL-00081,B2025164,Product D ,In-Process,2024-07-28 15:02:07,Awaiting Test,Assay,TM-Assay-PROD-004,INST-Assay-3,98.0,102.0,99.5,%,Pass,AN-lauraodom,2024-07-28 18:02:07,QA-debra72,
SMPL-00082,B2025165,ProductB,In-Process,2025-02-24 22:45:10,Awaiting Test,pH,TM-pH-PROD-002,INST-pH-2,6.5,7.5,6.93,,Pass,AN-wallderek,2025-02-25 01:45:10,QA-debra72,QA-douglas49
SMPL-00083,B2025017,ProductB,In-Process,2024-12-10 16:26:43,Awaiting Test,Purity,TM-Purity-PROD-002,INST-Purity-1,99.0,,98.87,%,OOS,AN-lauraodom,2024-12-10 20:26:43,QA-douglas49,QA-lambertscott
SMPL-00084,B2025082,Product D ,Finished Product,2025-05-21 18:16:46,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-1,99.0,,99.73,%,Pass,AN-teresa11,2025-05-21 22:16:46,QA-lambertscott,QA-douglas49
SMPL-00085,B2025121,ProductC,Finished Product,2024-11-08 05:37:39,Awaiting Test,Assay,TM-Assay-PROD-003,INST-Assay-3,98.0,102.0,101.9,%,Pass,AN-teresa11,2024-11-08 06:37:39,QA-douglas49,QA-debra72
SMPL-00086,B2025012,ProductB,Finished Product,2024-09-10 15:59:49,Awaiting Test,Assay,TM-Assay-PROD-002,INST-Assay-1,98.0,102.0,97.8,%,OOS,AN-meyerjoseph,2024-09-10 17:59:49,QA-georgejames,QA-douglas49
SMPL-00087,B2025108,Product D ,In-Process,2024-07-27 07:06:11,Awaiting Test,pH,TM-pH-PROD-004,INST-pH-3,6.5,7.5,6.87,,Pass,AN-zcole,2024-07-27 11:06:11,QA-lambertscott,QA-debra72
SMPL-00088,B2025007,ProductC,Finished Product,2024-11-25 02:37:30,Awaiting Test,pH,TM-pH-PROD-003,INST-pH-2,6.5,7.5,6.78,,Pass,AN-meyerjoseph,2024-11-25 03:37:30,QA-douglas49,QA-lambertscott
SMPL-00089,B2025132,ProductC,Finished Product,2025-01-11 21:31:30,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-1,99.0,,98.85,%,OOS,AN-lauraodom,2025-01-11 23:31:30,QA-lambertscott,QA-douglas49
SMPL-00090,B2025098,ProductA,Finished Product,2024-09-11 04:51:37,Awaiting Test,Purity,TM-Purity-PROD-001,INST-Purity-1,99.0,,99.15,%,Pass,AN-jose98,2024-09-11 05:51:37,QA-georgejames,QA-douglas49
SMPL-00091,B2025201,ProductB,In-Process,2025-05-06 14:29:27,Awaiting Test,Assay,TM-Assay-PROD-002,INST-Assay-3,98.0,102.0,,%,Test Not Performed,AN-meyerjoseph,2025-05-06 17:29:27,,
SMPL-00092,B2025217,ProductC,In-Process,2024-08-20 08:04:26,Awaiting Test,pH,TM-pH-PROD-003,INST-pH-2,6.5,7.5,7.26,,Pass,AN-bryantheather,2024-08-20 12:04:26,QA-debra72,QA-douglas49
SMPL-00093,B2025139,Product D ,Finished Product,2024-12-02 01:06:26,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-2,99.0,,99.51,%,Pass,AN-meyerjoseph,2024-12-02 04:06:26,,
SMPL-00094,B2025164,Product D ,In-Process,2024-07-28 15:34:07,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-1,99.0,,99.09,%,Pass,AN-lauraodom,2024-07-28 18:34:07,QA-georgejames,QA-lambertscott
SMPL-00095,B2025039,ProductB,In-Process,2024-08-27 14:04:06,Awaiting Test,Purity,TM-Purity-PROD-002,INST-Purity-2,99.0,,99.54,%,Pass,AN-zcole,2024-08-27 18:04:06,QA-georgejames,QA-debra72
SMPL-00096,B2025220,ProductA,Finished Product,2024-07-23 01:32:04,Awaiting Test,pH,TM-pH-PROD-001,INST-pH-2,6.5,7.5,6.67,,Pass,AN-jose98,2024-07-23 03:32:04,QA-debra72,QA-georgejames
SMPL-00097,B2025172,Product D,In-Process,2024-08-13 08:54:54,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-2,99.0,,99.1,%,Pass,AN-teresa11,2024-08-13 09:54:54,QA-debra72,QA-lambertscott
SMPL-00098,B2025114,ProductC,Finished Product,2024-12-28 07:20:33,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-1,99.0,,99.18,%,Pass,AN-teresa11,2024-12-28 08:20:33,QA-lambertscott,QA-douglas49
SMPL-00099,B2025117,ProductA,Finished Product,2024-11-07 03:00:47,Awaiting Test,Assay,TM-Assay-PROD-001,INST-Assay-3,98.0,102.0,97.5,%,OOS,AN-wallderek,2024-11-07 04:00:47,QA-lambertscott,QA-georgejames
SMPL-00100,B2025004,ProductC,In-Process,2024-07-11 04:40:35,Awaiting Test,pH,TM-pH-PROD-003,INST-pH-3,6.5,7.5,6.68,,Pass,AN-teresa11,2024-07-11 08:40:35,QA-georgejames,QA-lambertscott
SMPL-00101,B2025161,ProductB,In-Process,2024-12-04 22:23:28,Awaiting Test,pH,TM-pH-PROD-002,INST-pH-1,6.5,7.5,6.45,,OOS,AN-teresa11,2024-12-05 01:23:28,QA-lambertscott,QA-douglas49
SMPL-00102,B2025052,ProductB,Finished Product,2024-11-22 04:33:34,Awaiting Test,Purity,TM-Purity-PROD-002,INST-Purity-3,99.0,,99.77,%,Pass,AN-meyerjoseph,2024-11-22 07:33:34,QA-debra72,QA-lambertscott
SMPL-00103,B2025080,Product D ,In-Process,2024-07-08 00:46:39,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-1,99.0,,99.8,%,Pass,AN-zcole,2024-07-08 04:46:39,,
SMPL-00104,B2025047,ProductA,Finished Product,2025-04-09 03:06:44,Awaiting Test,Assay,TM-Assay-PROD-001,INST-Assay-2,98.0,102.0,102.5,%,OOS,AN-lauraodom,2025-04-09 06:06:44,QA-lambertscott,QA-debra72
SMPL-00105,B2025111,Product D ,Finished Product,2025-05-16 18:05:25,Awaiting Test,Purity,TM-Purity-PROD-004,INST-Purity-1,99.0,,99.52,%,Pass,AN-lauraodom,2025-05-16 21:05:25,,
SMPL-00106,B2025131,ProductA,In-Process,2025-05-19 14:32:33,Awaiting Test,Purity,TM-Purity-PROD-001,INST-Purity-3,99.0,,,%,Test Not Performed,AN-lauraodom,2025-05-19 17:32:33,,
SMPL-00107,B2025017,ProductB,Finished Product,2024-12-10 15:00:43,Awaiting Test,pH,TM-pH-PROD-002,INST-pH-2,6.5,7.5,7.1,,Pass,AN-zcole,2024-12-10 19:00:43,QA-debra72,
SMPL-00108,B2025107,ProductC,In-Process,2024-09-27 15:18:16,Awaiting Test,pH,TM-pH-PROD-003,INST-pH-1,6.5,7.5,6.67,,Pass,AN-bryantheather,2024-09-27 19:18:16,QA-lambertscott,QA-debra72
SMPL-00109,B2025054,ProductB,Finished Product,2024-10-07 10:10:51,Awaiting Test,pH,TM-pH-PROD-002,INST-pH-2,6.5,7.5,6.6,,Pass,AN-meyerjoseph,2024-10-07 14:10:51,QA-debra72,QA-lambertscott
SMPL-00110,B2025122,Product D,In-Process,2024-10-24 11:01:54,Awaiting Test,pH,TM-pH-PROD-004,INST-pH-2,6.5,7.5,6.94,,Pass,AN-zcole,2024-10-24 15:01:54,QA-debra72,
SMPL-00111,B2025166,Product D ,In-Process,2024-10-29 13:23:58,Awaiting Test,Assay,TM-Assay-PROD-004,INST-Assay-3,98.0,102.0,100.3,%,Pass,AN-lauraodom,2024-10-29 17:23:58,QA-debra72,QA-lambertscott
SMPL-00112,B2025169,ProductC,Finished Product,2024-12-23 14:13:51,Awaiting Test,Purity,TM-Purity-PROD-003,INST-Purity-3,99.0,,99.74,%,Pass,AN-wallderek,2024-12-23 15:13:51,QA-lambertscott,QA-debra72
SMPL-00113,B2025054,ProductB,Finished Product,2024-10-07 10:41:51,Awaiting Test,Purity,TM-Purity-PROD-002,INST-Purity-2,99.0,,99.99,%,Pass,AN-bryantheather,2024-10-07 14:41:51,,
SMPL-00114,B2025048,ProductC,In-Process,2025-06-15 21:06:34,Awaiting Test,Assay,TM-Assay-PROD-003,INST-Assay-1,98.0,102.0,98.4,%,Pass,AN-jose98,2025-06-15 23:06:34,QA-debra72,QA-douglas49
